,question
2349,Which African mammal is also known as the ant bear?
2350,Tumors that are able to evade the body's immune response can become what?
2351,What type of organization provides internet access?
2352,"Who is known as Mattress Mack and has a daughter, diagnosed with OCD?"
2353,Is wisdom the same thing as intelligence?
2354,What did Kenya reveil in 2030?
2355,When did evidence of wheeled vehicles appear throughout the world?
2356,In translation what term is often left untranslated to keep of fuller definition?
2357,Why is attachment to things futile?
2358,"Who defined god as ""that than which nothing greater can be conceived""?"
2359,During what part of the week is the time change most often scheduled?
2360,"""What movie would have been more accurately titled """"Cretaceous Park""""?"""
2361,If you ordered queso in a Spanish Restaurant what would you be served?
2362,What colour is the mineral rock malachite?
2363,What was the first object to enter space?
2364,Psycho-physical energy is harnessed through what?
2365,Which part of the body does a reflexologist most commonly focus on?
2366,What is American slang for a prison?
2367,"What library was estimated to have 700,000 volumes?"
2368,Which fruit is a cross between a grapefruit and a tangerine?
2369,What is the Australian equivalent of the mythical beast known in the U.S. as Bigfoot and in the Himalayas as the yeti ?
2370,What creature was used for the medical treatment of bloodletting?
2371,What would a teacher assess the levels of a student on?
2372,"In addition to bottles and cans, How is beer often sold in bars?"
2373,Which food of the Gods is said to bestow immortality?
2374,Holding hands with one's partner and telling others about a relationship are examples of what kind of adolescent event?
2375,"Soccer player George Best once said that he spent 95% of his money on wine, women and song, and the other 5% he ... what?"
2376,What was the only language many deaf people had?
2377,How many total members were there?
2378,What has a different significance in various languages?
2379,The Singapore Airlines fleet features aircraft from this aircraft family that have a range of 5000 to and can accommodate up to how many passengers in a two-class layout
2380,"Besides the moon, what is the brightest object in the night sky?"
2381,What kind of self-consistent models are physicists trying to make that would create a theory of everything?
2382,If you had a beard you would not be allowed to compete in the Olympics at what sport?
2383,What is one thing mattel Developed?
2384,Where else can one see a theater performance?
2385,These theorems have to assume what theory is correct?
2386,The rules themselves are designed to assure a satisfying what?
2387,"Who said that virtue provides ""the greatest happiness for the greatest numbers""?"
2388,Which item of floor covering is slang for a small wig worn by men to cover a bald spot?
2389,The necessary exists due to what?
2390,"What are the clouds of interstellar dust, said to be the birthplace of stars?"
2391,In modern technology SatNavs use the GPS system. For what do the letters GPS stand?
2392,The neurobiological explanation is specific to what types of brains?
2393,What kind of issue is earthquake prediction?
2394,What speed of film is produced by insensitive film?
2395,What powerlifting exericse is a typical example of extended length conditioning?
2396,What do larger fortunes generate?
2397,What mental state is the foundation of morality as described by the Quran?
2398,How many people was the CM designed to carry in the end?
2399,Which famous singer and actress would you associate with the perfume Glow?
2400,"""Who said """"Th-Th-Th-Th-Th-... That's all, folks""""?"""
2401,How much energy is contained in the light to which human eyes are most sensitive?
2402,How much money did a 1/2 minute commercial cost?
2403,What kind of memory skills do dogs have?
2404,If you can make it where you'll make it anywhere?
2405,How many groups do these languages belong to?
2406,What can cause contact dermatitis for some people?
2407,The Encyclopedie was comprised of how many volumes?
2408,"Three angels are mentioned in the Bible, Gabriel, Michael and which other?"
2409,Who famously lived to regret saying “You can’t win anything with kids”?
2410,"What ensures the survival of human species by providing food, shelter, other resources to mankind?"
2411,What is the name for the colored part of the eye?
2412,"Arranged alphabetically, which would be the first book of the Old Testament?"
2413,"What desert consists of ice cream placed in a pie dish lined with slices of sponge cake and topped with meringue, which is baked in a very hot oven just long enough to firm the meringue?"
2414,What author would Jerome rather read than the Bible?
2415,On what planet did the Supreme Intelligence originate?
2416,How is our experience of time at the macro level?
2417,What are the exceptions in the constitution  that require special considerations to amend?
2418,"According to some legal theorists, for what are there no requirements for something to be considered a law?"
2419,"When was the science fiction-horror film-teen film, which was directed by American film director, photographer, writer and film producer who is best known for his controversial teen film ""Kids,"" released?"
2420,"What is a word for ""defent from evil?"""
2421,Who commited suicide after she was abandoned by Aeneas?
2422,By what year is solar power expected to become the world's greatest source of electricity?
2423,"When a human is suffering from hyponatremia, what is the main cause of damage that may occur?"
2424,"For how long does facial hair continue to get darker, coarser, and thicker?"
2425,What colour is the centre square (excluding the star)?
2426,What is one example of nonverbal communication?
2427,When determining sexual preference this way what is the active role associated with?
2428,"""Who supposedly said """"let them eat cake""""?"""
2429,What could have made temperatures more extreme?
2430,Which type of PCB construction technique was used first?
2431,When will reflections not be coherent?
2432,‘Touch the rainbow. Taste the rainbow’ is the advertising slogan for which confectionery product?
2433,What was the last mission to take a man to the moon?
2434,Who are magical creatures from another world?
2435,What questionaire has been used to measure the age in which adolescents should be able to engage in autonomous behaviors?
2436,What is a physical tool that tracks the passage of time?
2437,What is thought to be at the center of the Milky Way?
2438,"In addition to vocalization and body posture, how do people communicate with dogs?"
2439,Who founded a religion whose cornerstone was deism?
2440,What internal component has undergone considerable revision?
2441,"What psychological phenomenon states that when two people live in close proximity during the first years in the life of either one, they are desensitized to sexual attraction?"
2442,Where was the filter bank taken from?
2443,Where did this initiate?
2444,What can insulate against cold or hot conditions?
2445,What did Tesla do for a job that paid two dollars a day?
2446,What is a critical skill in terms of execution in scores?
2447,What was Jack Buck's younger brother's job?
2448,How do supernatural entities act?
2449,What was originally believed the heavens were filled with?
2450,What is being used in cleaning up oil spills?
2451,Which sex tends to have more red blood cells than the other?
2452,How much did '1941' earn?
2453,How much money is involved in bribery in the world each year?
2454,Which group projected that solar plant may produce most of the world's electricity within 50 years?
2455,What is the name for the pinkish corner of the eye?
2456,What do American's call a Hot Dog?
2457,"What may in part reflect subjective attributes, self-identities and social institutions?"
2458,What percent of the population are over 64 years old?
2459,"If people have more daylight in the evenings, what season might see a rise in outdoor activity?"
2460,What award is the equivalent of the Oscars for live American theatre?
2461,What could justify restrictions on freedom of establishment?
2462,Name one ride located at Warner Bros?
2463,"If eating Cambridge No 5s,Wellands or Bedford Winter Harvests what would you be eating?"
2464,Which days child 'works hard for a living'?
2465,Who knows everything that is needed to get to the truth and goal?
2466,"If you were to order Rochebaron in a French restaurant, which food would you be served ?"
2467,Complete the saying ‘Whom the Gods love die ……..’?
2468,Most of the songs in Music are what type of songs?
2469,For radio broadcast that one would hear in their car what type of towers are used?
2470,What is a group of kittens called?
2471,Who can benefit from two-way communication forums?
2472,What is a mathematical tool used for organizing intervals of time?
2473,"""Whose last words were """"Tomorrow I shall no longer be here""""?"""
2474,Sufferers of cynanthropy think they are a what?
2475,What is a type of disobedience against the federal government?
2476,What is crop milk?
2477,Who created the character of Dracula?
2478,What creatures were first to live on land and fly?
2479,How many goals of living is there?
2480,Is exploratory sexual behavior seen as similar or seperate to other aspects of identity?
2481,How many people are in the vehicle for the AG2R Race?
2482,What type of human knowledge is math?
2483,"""What is the term used to describe the collection of flowers in species that have more than one flower on an axis (sometimes called """"composite flowers""""?"""
2484,Youtube offers users the option to watch content where?
2485,When did Doson die?
2486,"At 51° 23' E, what is the easternmost point of the African continent?"
2487,"""Who is associated with the phrase """"history is bunk""""?"""
2488,What is bliss when it is folly to be wise
2489,Aside from music what other activity plays a significant role in culture?
2490,Which part of memory allows us to go about our daily lives?
2491,What is it called when friends are favored over other people?
2492,"Even though Kierkegaard does not believe in the possibility of an existential system of reality, what sort of system can exist?"
2493,"Which oart of the body can be described as true, false or floating?"
2494,Who visited the Temple Mount?
2495,How much money did Burke accept instead of the Earlship?
2496,How many children did she have?
2497,What is Neptune's planet center temperature?
2498,At what stage to mixed-sex siblings generally experience an increase in intimacy?
2499,Whose work habits and environment prevents them from maintaining a regular sleep pattern?
2500,Paraguayan cuisine employs what traditional technique for cooking it's food?
2501,"What transparent, biconvex structure changes shape to change the focal distance of the eye so that it can focus on objects at different distances?"
2502,"Who came up with the idea of ""things-as-interacted-by-us""?"
2503,"And currently, at what age are taxis required to have an MOT certificate?"
2504,Buildings can create ghost images because of what?
2505,What impact does workers working harder have on productivity of a business?
2506,What is the antepenultimate word of this question?
2507,"When asked where should one wear perfume, who replied ""Wherever one wants to be kissed"""
2508,What's an example of a form fitting garment?
2509,How many has she sold worldwide?
2510,"When was the first online casino, also known as virtual casinos, started allowing for online gambling?"
2511,What kind of genetic material can be produced from retrotransposons?
2512,From what is banana oil made?
2513,What is the equality of forces between two objects exerting force on each other??
2514,What has changed since the second half of the 20th century?
2515,What percentage of Americans drive cars to work?
2516,What brand of chips wa produced by Frito-Lay since 1964 and then produced by Bluebird Foods locally in New Zealand?
2517,What highway circles the outer areas of Houston?
2518,What do historians try to piece together from pre-Western environments?
2519,"In classical electrodynamics, a charge moving in a circle should do what?"
2520,"What baseball team, part of the ten-school collegiate athletic conference headquartered in Irving, Texas, was coached by Randy Mazey in 2016?"
2521,Which photographer has had four wives including Catherine Deneuve and Marie Helvin
2522,What thinker believed that emotions were necessary for virtue?
2523,Which religion will have the most followers by the year 2050 if trends continue?
2524,What are you suffering from if you have inflamed sebaceous glands
2525,What can be used to make glass less refractive?
2526,The sun is currently a yellow dwarf. What will it become in about 5 billion years?
2527,"In the effort of maintaining a level of abstraction, what choice is typically left independent?"
2528,Where in the human body are the metacarpals?
2529,Who says the bond of blood between mother and son is more meaningfu than the bond of marriage?
2530,Proximity and the ending of life is called?
2531,What animal might you count if you can't sleep?
2532,What large cat has a particular taste for dogs no matter how big the dog is?
2533,How has this debate been proven?
2534,How is it postulated that Mars life might have evolved?
2535,"Which space probe, launched in 1977, is set to reach the edge of the known solar system and be the first man made object to experience interstellar space?"
2536,Do teens smoke marijuana or cigarettes more commonly?
2537,"""Who wrote, """"What is this life if full of care, We have no time to stand and stare?"""""""
2538,What type of oil is harvested?
2539,What becomes developed all the time?
2540,What are believed to be able to sleep in flight?
2541,What percentage of households earned less than 977 per month?
2542,The standard description of measurement in quantum mechanics is what?
2543,"In nautical terms, what is the process of binding the endof a rope to stop it from fraying?"
2544,What has likely led to human success?
2545,What was a watershed event in human history?
2546,Who was a noted magician who could vanish into thin air?
2547,Where are slip losses dissipated?
2548,What mathematical puzzle that consists of three pegs and a number of disks of different sizes in which the objective is to move the entire stack of disks from one peg to another is used in computer science to teach recursion to students of programming?
2549,Scholars believe that karma originated in what?
2550,What could be the best possible output versus input ratio?
2551,What modern technology takes the next step from the photophone?
2552,What type of powers should have actual influence throughout the scope of the prevailing international system?
2553,What system could possibly be used for interplanetary travel?
2554,What make of car was the time-machine in the film Back To The Future?
2555,What sign of the zodiac is represented by twins?
2556,What put an end to the scheme of semi-detached houses?
2557,"Suitcase and Hänt Extra, are which form of publication?"
2558,"What dictated that when a parent could not contract a legal marriage, offspring would follow the mother?"
2559,Who would wear a hat known as a toque?
2560,What kind of plural words lose /n/?
2561,"Until what year, was the US the sole possessor of the atomic bomb?"
2562,Who argued that emotions arise from cognitive intentionality?
2563,Which bound of time is more difficult to establish?
2564,What theory claims that popular belief was based on fiction?
2565,What did Hume think our beliefs can't be established solely by?
2566,What does a country acquire as it develops?
2567,What is the most critical resource measured to in assessing the determination of a Turing machine's ability to solve any given set of problems?
2568,What can typically cause mass extinctions?
2569,"What is the name for the common method of viewing a 3d movie, with red and blue glasses?"
2570,How much water should be taken in for each calorie of food that is consumed?
2571,Poppers notion of verisimilitude leaves no place for which kind of probabilities in the evaluation of scientific hypotheses?
2572,"In a market economy, what is inequality a reflection of?"
2573,Which type of light bulb uses inert gas?
2574,In what figure of speech is understatement used to emphasize a point by denying the opposite?
2575,Do children or adolescents tend to associae with friends of the opposite sex more?
2576,What state does the intensive theory conceive pain as being?
2577,What type of lens bends parallel rays inwards: convex or concave?
2578,"""The word """"the"""" is what part of speech?"""
2579,Would observing Daylight Saving Time have a small or large effect on how light it is during the workday in areas at high latitudes?
2580,How many men did Duquesne send to relieve  Saint-Pierre ?
2581,"Which pizza company has a broader market, Pizza Corner or Round Table Pizza"
2582,Inequality in the presence of credit market imperfections has what kind of effect on human capital formation?
2583,In which occupation would you use a plonker?
2584,In geometry a lozenge is alternatively called (What?)-shaped?
2585,"As a grade school child he created an electronic device while his parents were away, what was it?"
2586,What was a result of these marriages?
2587,With whom are pirates having an adventure in the title of a 2012 animated film?
2588,Dogs can act as a facilitator of what between human beings?
2589,What colors are used to create purple on a computer screen?
2590,Which creatures are affected by Isle of Wight disease ?
2591,How are the particle forces and accelerations explained as by gauge bosons exchange?
2592,What type of test is used to tell that a brain is active even during sleep?
2593,In theory when can one attain Nirvana during practice?
2594,Which form of writing extended before the invention of paper?
2595,Where were the first calendars printed?
2596,What was the name of the mystic fluid which flowed through the veins of the mythological gods?
2597,How do Cow and Chicken relate?
2598,What does Christ's love reveal to humanity?
2599,Who saw four ghosts on Christmas Eve?
2600,"Who would you be more worried about playing a chess game against, Marcel Duchamp or Jiang Wen"
2601,The 'Chelsea Flower Show' is held in which month (a) May (b) June or (c) July?
2602,"If something is soporific, what would it make you want to do?"
2603,Of what are you afraid of if you suffer from chromophobia?
2604,What word describes the approximate rates at which sunset and sunrise change with the seasons?
2605,Which objects in space emit energy in pulses?
2606,What is the current international unit of time?
2607,What kind of computerized console would have been seen in Losing Ground?
2608,What do some believe about this pronunciation?
2609,When did the black death technically subside?
2610,What happens to the amount of radiation an object emits as temperature increases?
2611,Who do gurus control?
2612,What is another name for word blindness
2613,What is the term when middle income earners aspire to obtain the same standards of living as people wealthier than themselves?
2614,What do all living humans belong to?
2615,"Zeitgeist: The Spirit of the age, is focused on what claimed emerging clandestine totalitarian world government?"
2616,Which part of the body does a reflexologist primarily deal with?
2617,Are male or female late adolescents more likely to smoke cigarettes?
2618,What does the opposing view of time believe time is a part of?
2619,"In the Winnie the Poo stories, what is Kanga's baby called?"
2620,Ontological theory suggests that what is the main substance?
2621,What type of meat is never present in halal dishes?
2622,Which belief system definitively believes in no Higher Power or Supreme Being?
2623,What theorized that time and energy can be measured?
2624,NP complete problems contain the lowest likelihood of being located in what problem class?
2625,What cancels our guilt and empowers us to resist the power of sin and to fully love God and neighbor?
2626,"""""""f you wanna make the world a better place, take a look at yourself then make a change"""" is a line from what song?"""
2627,What is the capital of Bermuda?
2628,What will be erased if an iPod is set to sync with a different computer?
2629,What  kind of particles are quarks and leptons?
2630,What name is given to divination by summoning the spirits of the dead?
2631,How much time do Tucson schools give students off to attend the Fiesta de los Vaqueros?
2632,"In humans, what is the medical term for night blindness, the inability to see in dim light or at night?"
2633,What goes to the grave with Everyman in the morality play?
2634,An example of a Assault rifle is what?
2635,Whose will did Hegel believe should prevail over that of the individual?
2636,How was John's financial situation?
2637,Whose famous last words were allegedly 'I am just going outside and may be some time'?
2638,The only fruit to have it's seeds on the outside is a what?
2639,At what date did the first country start using the new calendar?
2640,"In food, ‘E’ numbers 110 – 119 are which colour?"
2641,"""In which """" Star Wars"""" episode does Anakin Skywalker transform into the black-suited Darth Vader?"""
2642,"After the five oceans, what is the largest sea body in the world?"
2643,How many dogs are estimated to be in the world?
2644,What should man's nature be centered on?
2645,"Are atmospheric oxygen levels going up, down, or staying the same?"
2646,What do Failure and The White Stripes have in common?
2647,What word beginning with 'B' means the highest degree of happiness?
2648,What provides the absolute frame of reference within which objects can have motion?
2649,What group might have Archaic Homo sapiens evolve out of?
2650,"Whose relationships have been the subject of speculation in the celebrity press, and has been romantically linked with Jennifer Love Hewitt, Heidi Klum, Jessica Simpson, Minka Kelly and Jennifer Aniston?"
2651,What can be treated using genetic engineering?
2652,What is Vision 2030?
2653,What is the world's most populous country?
2654,What is the term for the idea of ultimately nothing has existance?
2655,What type of animal is a shell-less gastropod?
2656,What is the capital of the North Atlantic island of Bermuda?
2657,What much money did Hanssen receive in cash?
2658,What history was to be brought into the comparison?
2659,The flavouring vanilla comes from a species of which plant?
2660,From what famous soliloquy is the title What Dreams May Come derived from?
2661,Genetic engineering was first discovered in what century?
2662,Fratricide is the killing of one’s what?
2663,What rains on Neptune?
2664,What type of motivators are achievement and self determination considered?
2665,"On average, how many children do Christians have?"
2666,Who believes there are innumerable other Buddhas in other universes?
2667,"A cat is part of a biological family that, given their need for animal nutrients, are sometimes referred to as what?"
2668,Performers can use their knowledge of what to help interpret a written score?
2669,Dogs had a worth to what type of early humans?
2670,An aileron is found on which part of an aircraft?
2671,Can invertebrate species of animals like insects feel pain and suffering?
2672,"How many times did Sumerian farmers plow, harrow and rake the ground?"
2673,The initial state of earth was what?
2674,"In an ideal moral society, what would all citizens be free from?"
2675,What prohibits atoms from passing through each other?
2676,What do phonemes differentiate?
2677,How many buttons did the Mighty Mouse have?
2678,The third noble truth is that the complete cessation of what is possible?
2679,Martian relates to which planet in our solar system?
2680,What sexual feature do a majority of flowers demonstrate?
2681,What can be used to signal sexual idenitys to others?
2682,What is distinct from the self?
2683,Whose opinion on the spouse of an arranged marriage was considered to be more important?
2684,"What is another name for the devil, starting with the letter L?"
2685,Corruption can determine certain things in what kind of activities?
2686,Who distributed Tonka and The Many Adventures of Winnie the Pooh?
2687,"Which plant, Enkianthus or Scadoxus, is small enough to be grown as an ornamental plant in containers?"
2688,"""From which Bob Dylan song does the following come: """"I aint sayin' you treated me unkind, you could have done better but I don't mind, you just kind of wasted my precious time""""?"""
2689,Frank Marino played at the casino that had a hotel with how many rooms?
2690,In what way do idea strings transmit tesion forces?
2691,"What has no distinction between the categories  of voiced, voiceless, aspirated and unaspirated?"
2692,Who was the highest ranking official killed in the attack?
2693,What type of responsiveness can be used without a brain?
2694,Human group variation is similar to variation observed in what other species?
2695,What is the name given to the system for categorising library books?
2696,What astrological sign is represented by twins?
2697,"What was the market value of the endowment the college received on July 31, 2015?"
2698,Her video Hollywood was a homage to which photographer?
2699,What was the name of the robot in Forbidden Planet?
2700,What is the Earth's orbit?
2701,"In space, the ‘Big Bang Machine’ is another name for what?"
2702,When was the 50th anniversary of his death?
2703,Which group do cats and dogs belong too?
2704,What does one need to remember about  the date of February 29 in the Julian calendar?
2705,What day did he die?
2706,What game of chance has a name that roughly means fate or personal destiny?
2707,The Green Book consisted of how many volumes?
2708,Would you expect The Knot Garden and The Cunning Little Vixen to be played in a movie theater?
2709,Liberation is know as what?
2710,What is the mode of travel for Antarctic tours?
2711,Why do the women drink through a straw?
2712,Who was able to describe the process of evaporation?
2713,Where is an important stopover location?
2714,"What are both Couples and ""Heroes""?"
2715,What type of services are sometimes open to passengers who are members of a different airline's frequent flyer program?
2716,What replaced the older sailing ships in the navy?
2717,From where is the temperature of a glacier measured?
2718,What deep-fried insect is part of the normal diet in some cultures?
2719,"Which civilization advanced in astronomy, mathematics, and medicine?"
2720,In the bible who was Adam and Eve’s third son?
2721,"Over which country did RAF Bomber Command make food drops, codenamed ‘Operation Manna’, in April 1945?"
2722,Which singer/comedian once compered Buddy Holly's British tour?
2723,"What, in the natural world, is 'earthstar'?"
2724,Capital letters refer to which case of letter?
2725,What was the business state of Marvel by 2000?
2726,What are higher life forms actively engaged in?
2727,What could a criminal in this era expect not to happen if he was convicted of a crime?
2728,Which dog is bigger? The Dandie Dinmont Terrier or The Rottweiler?
2729,A left-handed boxer is called a ‘what’…paw?
2730,How did Mark Anthony's love die?
2731,What are persons who lack any sort of magical ability and are not born into the magical world called in the Harry Potter universe?
2732,‘Geocentrism’ is the belief that which planet is the centre of the Universe?
2733,What kind of plant did these early gardeners seek out?
2734,What does gastric juice consist of?
2735,What is often difficult on the island?
2736,In deism is God represented in human form?
2737,"""Who said """"Only two things are infinite, the universe and human stupidity, and I'm not sure about the former""""?"""
2738,Which species are great wanderers?
2739,What is the name for the shape of a proscenium in a theatre?
2740,Who does a regicide kill?
2741,What substance in the human body causes blood vessels to dilate when released as part of an allergic reaction?
2742,What is the term for intimate conversation in bed?
2743,What does the increase in the number of objects in the universe do to the curvature of the water?
2744,"Played by Jay Silverheels on the TV series, what is the name of The Lone Ranger's faithful companion?"
2745,Which of the Great Lakes is the furthest east?
2746,In what way can Neutral triatomic hydrogen exist?
2747,What are probably the primary forces of nature which shaped human races?
2748,What serves as the embryo's food supply?
2749,What's one of the most popular tourist destinations in the world?
2750,"Along with mood, temperament, disposition and motivation, what is emotion often tied to?"
2751,What belief should bever be mixed widespread?
2752,Where is corruption even more prevalent?
2753,What is the nautical term for a staircase between two decks on a ship?
2754,Travelling directly east from Cape Horn where would your next landfall be?
2755,What characteristic in recent years has been strongly tied with health in developed countries?
2756,How does long term memory encode information?
2757,What is the practice of killing or trapping any animal?
2758,Henry McCarty was the real name of which wild western character?
2759,What type of monkey is only found in parts of Nigeria and Cameroon?
2760,What space-time path is seen as a curved line in space?
2761,In which season were contestants separated by gender to form groups?
2762,Bermuda stands as a northern point in what susposed area of strange activity and disappearances?
2763,"A person can awaken from the ""sleep of ignorance"" by acknowledging the true nature of what?"
2764,"""What is the """"national pastime"""" of the United States?"""
2765,What is Monica's former fiancé's real name?
2766,When did more people begin to keep dogs as pets?
2767,The word 'impropriety' refers to actions that are?
2768,Where did the Cincinnati Red Stockings move after leaving Cincinnati?
2769,According to what theory is time an ordering of various realities?
2770,Wolves may act in what behavioral manner when attacking dogs?
2771,How many days are in the Gregorian calendar?
2772,"The study of humanism among those studying math, astronomy and medicine is said to have caused what?"
2773,Who formed the universal theory of gravitation?
2774,What do you use to let idea strings switch direction?
2775,What would you be afraid of if you suffered from demophobia?
2776,How much more displacement does the modern Nimitz class have compared to the older USS Enterprise?
2777,What is an alternative name for sentence-style capitalization?
2778,Who was imprisoned?
2779,"In the children’s fairy tale, what was Cinderella’s carriage before it was changed by the Fairy Godmother?"
2780,What showed that memory exists even before that memory is known to the person?
2781,Who is known for the thought that humanity is the most important thing in the world?
2782,What has the largest affect over one's social development?
2783,Do romantic relationships tend to increase or decrease throughout adolescence?
2784,What is the name of the horse ridden by The Lone Ranger?
2785,What kind of paint makes a room a room look larger and brighter?
2786,What word refers either to a sharp knife or a high heel?
2787,What are some of the outlines of life?
2788,People with dogs do what more than people who have cats or no pets?
2789,What doesnt conetemporary humanism  believe about human nature?
2790,What is the second truth?
2791,What concept explains why objects continue in constant motion?
2792,The infant brain contains more of what type of cells in the brain than the adult brain?
2793,What directly opposes the force applied to move an object across a surface?
2794,"If a memory is triggered by a time, which kind of memory is this?"
2795,What is the main goal of humanism optimistic?
2796,"Who said 'I am not afraid to die, I just don't want to be there when it happens'?"
2797,"When was the writer of ""In This Life"" born?"
2798,"Who felt that since atheists gave themselves no Supreme Authority and no law, they were more likely to disrupt society?"
2799,With which part of the body is the medicinal science of orthodontics concerned?
2800,In what common household item can you find infrared LEDs?
2801,"According to the fairytale, Cinderella's coach was made from what?"
2802,Mixing the colours red and blue results in what colour?
2803,What individual privacy rights are citizens granted?
2804,Which aircraft is the largest passenger airliner currently in service?
2805,"Which is a lime-flavored drink, 50/50 or Jolt Cola?"
2806,Time is one of how many fundamental physical quantities?
2807,What does the skeleton consist of?
2808,"When does ""Movement"" occur?"
2809,What is it called when someone aspires to the characteristics of significant others?
2810,"What American actress born June 19, 1972, was is the film The In-Laws?"
2811,"Which popular garden flower has classes which include regular and irregular incurves, reflex, decorative and pompon?"
2812,In the general theory of relativity what causes space-time to be modified?
2813,Youtube intends for users to watch videos where?
2814,What is appearance a poor indication of?
2815,What do some polychaetes eat that has been causing problems?
2816,Many a carnival sideshow and Penny arcade contained what type of amusement?
2817,"What comes next in this sequence: million, billion, trillion?"
2818,"What two cities have a population over 50,000?"
2819,What colour is orange blossom?
2820,"Development anthropologists would like to know why if a goal is to alleviate poverty, that poverty is doing what?"
2821,Which bird has legs but cant walk?
2822,How many rainy days does it typically have?
2823,What year did the codifier of LaVeyan Satanism die?
2824,What new technology could be created as a result of studying cognitive science?
2825,Where did he begin teaching?
2826,What is the name for the study of the structure of the universe?
2827,What year should the streetcar become operable?
2828,What are humans' primary competitors?
2829,February 30th was a real date in which Scandinavian country?
2830,What is the threat that extreme temperature causes in environment?
2831,Who are subjective idealists opposed to?
2832,"Which film is more suitable with watching with your children, 4 or Bangkok Girl?"
2833,What is considered a qualitative experience rather than a quantitative one?
2834,If cats are feline which creatures are bovine
2835,"An Act of Conscience and McCullin, are films of which genre?"
2836,What phases of flight will passengers be able to use electronic devices?
2837,What may have been buried by the same prehistoric people?
2838,What taste could significantly impact a man's desire to drink?
2839,These books became a foundational text for what library?
2840,Who benefits from political corruption?
2841,What is considered to be central to the teachings of Buddhism?
2842,"Which magazine was published weekly vs every weekday, Aeon or Life?"
2843,How many families were recorded in the 2010 census?
2844,"In the last decade, has the amount oftime adolescents spend on the computer increased or dereased?"
2845,"If you had your vas deferens cut, what operation would you have had?"
2846,What has been the increase in obesity among adults in the last 30 years in the United States?
2847,A radioactive form of which element was responsible for the death of the former KGB officer Alexander Litvinenko in 2006?
2848,How many animals inhabit Zoo Los Coyotes?
2849,Many people still wear clothes that are what shape?
2850,"More than any other species, dogs are able to do what with people?"
2851,Travel in a hyperborean direction as far as you can go. Where do you end up?
2852,What is the ordinal of one?
2853,What molecular form is found in the interstellar medium?
2854,"After six months, what percentage of people who had limbs amputated still felt pain in those limbs?"
2855,Where could you read this information?
2856,Teddy Bears with a trademark button in the ear are made by which company?
2857,What might genetic clusters be shown to correspond to one day?
2858,What by any other name would smell as sweet?
2859,"What English stand-up comedian has a style of comedy full of ""stream-of-conscious banter""?"
2860,What is the term for a feeling of confidence to take action?
2861,"What theme park has a land area of 25 ha, which is home to a flight motion simulation attraction?"
2862,What does an herbivore eat?
2863,"Also known as a fixed partial denture, what is the name for a dental restoration used to replace a missing tooth by permanently joining a missing tooth to adjacent teeth?"
2864,Which cuticle later is like wax?
2865,What is known as the modification of an organism's genome through biotechnology?
2866,"For countries that use the dollar as their paper currency, what other currency do they make?"
2867,Who believed that action needed to be taken to level out the social and economic playing field before natural selection could occur to improve humanity?
2868,What does love lead to according to English mystics?
2869,Where is the eastern terminus of the Trans-Canada Highway?
2870,Did the 45 rpm or 12 inch disc offer longer playing time?
2871,What was the first plant to have its genome sequenced?
2872,At which step can gene expression be regulated?
2873,"which is more likely to make you laugh more, 20,000 Leagues Under the Sea or Condorman"
2874,What theory states that space expanded and the universe cooled too rapidly for hydrogen to completely fuse into heavier elements?
2875,From which plant is linseed oil derived?
2876,"""What is America's """"national pastime""""?"""
2877,How many clubs competed in 20011-12?
2878,Who coined the term 'Big Bang' for a cosmic theory with which he did not himself agree?
2879,Who was credited for her cries on the song?
2880,What percent own 2 or more cars?
2881,What is another television show that the 1947 born actor of Family Pictures star in?
2882,In which American state will you find Disneyland park?
2883,Which gender generally drive partner selection?:
2884,How many people could Apollo be projected to hold?
2885,What is the average number of pups in a litter?
2886,The Axis Is a mid-sized auditorium located inside Planet Hollywood Las Vegas located where?
2887,What animal on dairy farms is affected by timing?
2888,are there more species of Persea or Cryptotaenia
2889,"Greenburst, Zohar, Munchkin and Kong are all varieties of which flower?"
2890,The sand and clay deposited onto decaying marine matter transformed into what?
2891,In which specific kind of events can one often find people drinking too much water?
2892,What animal does Boiled egg and Egg as food have in common?
2893,Who is thought to be beyond the range and reach of thought?
2894,How many students were attending school during the 2009-2010 school year?
2895,What is the name of the protective outer layer of trees?
2896,How would the marriage of a man and woman on the ship serve as a fertility ritual?
2897,Light travels at its fastest in what medium?
2898,‘Have it your way’ was an advertising slogan for which fast-food outlet?
2899,"Hungry Howie's Pizza & Subs, Inc., also known as Hungry Howie's Pizza, is a franchise and the 11th largest pizza chain in the United States, with over 550 locations, it's products include pizza, calzone-style subs, and which cuisine of the United States, is an unbreaded chicken wing section (flat or drumette) that is generally deep-fried then coated in a sauce consisting of a vinegar-based cayenne pepper hot sauce and melted butter prior to serving?"
2900,Under what approach does an axiom impede a set of all sets which do not belong to themselves?
2901,What is the permutation when a person has not chosen goals in the past but is willing to in the future?
2902,What do many geologists believe about earthquake prediction?
2903,What did Luther expound happened to souls after death?
2904,"In ""A Short Drink from a Certain Fountain,"" the experimental youth serum alludes to what famous spring?"
2905,"In the old PCB design method, what was used to connect component pin pads?"
2906,Rising seas and displaced waters caused what  element along the coasts?
2907,Why should one not go to jail?
2908,What letter is lost in some words?
2909,What is the most frequently sung song in the language of English?
2910,What type of prime distribution is characterized about x/log x of numbers less than x?
